        dimension     Birth     Death
   [1,]         0 0.0000000       Inf
   [2,]         0 0.0000000 1.8812148
   [3,]         0 0.0000000 1.8282760
   [4,]         0 0.0000000 1.7902561
   [5,]         0 0.0000000 1.7884843
   [6,]         0 0.0000000 1.7580320
   [7,]         0 0.0000000 1.7549180
   [8,]         0 0.0000000 1.7500546
   [9,]         0 0.0000000 1.7482466
  [10,]         0 0.0000000 1.7329898
  [11,]         0 0.0000000 1.7028547
  [12,]         0 0.0000000 1.6934455
  [13,]         0 0.0000000 1.6826438
  [14,]         0 0.0000000 1.6548103
  [15,]         0 0.0000000 1.6194927
  [16,]         0 0.0000000 1.5662455
  [17,]         0 0.0000000 1.5634331
  [18,]         0 0.0000000 1.5273365
  [19,]         0 0.0000000 1.4983245
  [20,]         0 0.0000000 1.4981431
  [21,]         0 0.0000000 1.4711174
  [22,]         0 0.0000000 1.4443423
  [23,]         0 0.0000000 1.4434654
  [24,]         0 0.0000000 1.4338676
  [25,]         0 0.0000000 1.4309910
  [26,]         0 0.0000000 1.4288082
  [27,]         0 0.0000000 1.4180599
  [28,]         0 0.0000000 1.4101302
  [29,]         0 0.0000000 1.4091265
  [30,]         0 0.0000000 1.4026450
  [31,]         0 0.0000000 1.4016654
  [32,]         0 0.0000000 1.3929427
  [33,]         0 0.0000000 1.3681793
  [34,]         0 0.0000000 1.3550732
  [35,]         0 0.0000000 1.3545143
  [36,]         0 0.0000000 1.3476070
  [37,]         0 0.0000000 1.3395586
  [38,]         0 0.0000000 1.3190315
  [39,]         0 0.0000000 1.3167844
  [40,]         0 0.0000000 1.2849888
  [41,]         0 0.0000000 1.2436601
  [42,]         0 0.0000000 1.2391410
  [43,]         0 0.0000000 1.2332628
  [44,]         0 0.0000000 1.2329034
  [45,]         0 0.0000000 1.2307116
  [46,]         0 0.0000000 1.2254384
  [47,]         0 0.0000000 1.2073846
  [48,]         0 0.0000000 1.1964040
  [49,]         0 0.0000000 0.9088710
  [50,]         0 0.0000000 0.9079436
  [51,]         0 0.0000000 0.8945570
  [52,]         0 0.0000000 0.8889170
  [53,]         0 0.0000000 0.8725294
  [54,]         0 0.0000000 0.7898312
  [55,]         0 0.0000000 0.7844213
  [56,]         0 0.0000000 0.7843164
  [57,]         0 0.0000000 0.7840990
  [58,]         0 0.0000000 0.7839933
  [59,]         0 0.0000000 0.7835327
  [60,]         0 0.0000000 0.7833020
  [61,]         0 0.0000000 0.7832053
  [62,]         0 0.0000000 0.7829133
  [63,]         0 0.0000000 0.7828675
  [64,]         0 0.0000000 0.7823920
  [65,]         0 0.0000000 0.7822407
  [66,]         0 0.0000000 0.7817855
  [67,]         0 0.0000000 0.7816857
  [68,]         0 0.0000000 0.7812728
  [69,]         0 0.0000000 0.7808214
  [70,]         0 0.0000000 0.7808089
  [71,]         0 0.0000000 0.7806680
  [72,]         0 0.0000000 0.7803272
  [73,]         0 0.0000000 0.7799827
  [74,]         0 0.0000000 0.7797206
  [75,]         0 0.0000000 0.7784555
  [76,]         0 0.0000000 0.7783553
  [77,]         0 0.0000000 0.7779348
  [78,]         0 0.0000000 0.7779105
  [79,]         0 0.0000000 0.7778441
  [80,]         0 0.0000000 0.7778310
  [81,]         0 0.0000000 0.7778208
  [82,]         0 0.0000000 0.7776294
  [83,]         0 0.0000000 0.7776183
  [84,]         0 0.0000000 0.7772226
  [85,]         0 0.0000000 0.7770208
  [86,]         0 0.0000000 0.7769796
  [87,]         0 0.0000000 0.7765861
  [88,]         0 0.0000000 0.7764462
  [89,]         0 0.0000000 0.7763880
  [90,]         0 0.0000000 0.7763574
  [91,]         0 0.0000000 0.7762939
  [92,]         0 0.0000000 0.7762417
  [93,]         0 0.0000000 0.7759415
  [94,]         0 0.0000000 0.7755369
  [95,]         0 0.0000000 0.7753069
  [96,]         0 0.0000000 0.7752035
  [97,]         0 0.0000000 0.7750360
  [98,]         0 0.0000000 0.7750050
  [99,]         0 0.0000000 0.7749495
 [100,]         0 0.0000000 0.7745684
 [101,]         0 0.0000000 0.7745434
 [102,]         0 0.0000000 0.7745263
 [103,]         0 0.0000000 0.7745032
 [104,]         0 0.0000000 0.7739549
 [105,]         0 0.0000000 0.7739364
 [106,]         0 0.0000000 0.7738327
 [107,]         0 0.0000000 0.7738070
 [108,]         0 0.0000000 0.7737430
 [109,]         0 0.0000000 0.7735944
 [110,]         0 0.0000000 0.7733481
 [111,]         0 0.0000000 0.7731728
 [112,]         0 0.0000000 0.7729560
 [113,]         0 0.0000000 0.7728106
 [114,]         0 0.0000000 0.7726815
 [115,]         0 0.0000000 0.7725616
 [116,]         0 0.0000000 0.7724994
 [117,]         0 0.0000000 0.7723993
 [118,]         0 0.0000000 0.7723940
 [119,]         0 0.0000000 0.7723474
 [120,]         0 0.0000000 0.7723189
 [121,]         0 0.0000000 0.7722961
 [122,]         0 0.0000000 0.7722707
 [123,]         0 0.0000000 0.7721182
 [124,]         0 0.0000000 0.7720482
 [125,]         0 0.0000000 0.7719692
 [126,]         0 0.0000000 0.7719530
 [127,]         0 0.0000000 0.7715324
 [128,]         0 0.0000000 0.7714451
 [129,]         0 0.0000000 0.7714151
 [130,]         0 0.0000000 0.7713563
 [131,]         0 0.0000000 0.7710734
 [132,]         0 0.0000000 0.7709493
 [133,]         0 0.0000000 0.7708910
 [134,]         0 0.0000000 0.7708536
 [135,]         0 0.0000000 0.7708453
 [136,]         0 0.0000000 0.7707733
 [137,]         0 0.0000000 0.7706423
 [138,]         0 0.0000000 0.7706371
 [139,]         0 0.0000000 0.7705717
 [140,]         0 0.0000000 0.7700659
 [141,]         0 0.0000000 0.7698146
